stage,metric,value,ci_lower,ci_upper
search,true_positives,18,,
search,false_negatives,4,,
search,false_positives,82,,
search,recall,0.8181818181818182,0.6148297802336213,0.9269323397589488
search,precision,0.18,0.11700131654251039,0.26667536024213084
abstract,true_positives,18,,
abstract,false_negatives,0,,
abstract,false_positives,51,,
abstract,recall_in_search,1.0,0.8241154494176252,1
abstract,recall_all_meta,0.8181818181818182,0.6148297802336213,0.9269323397589488
abstract,precision,0.2608695652173913,0.17185419574593983,0.3751079797142367
fulltext,true_positives,16,,
fulltext,false_negatives,1,,
fulltext,false_positives,12,,
fulltext,additional_false_negatives,1,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,2,,
fulltext,false_negatives_fulltext_only,1,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9411764705882353,0.730174547964372,0.9895398693548358
fulltext,recall_fulltext_only,0.9411764705882353,0.730174547964372,0.9895398693548358
fulltext,absolute_recall_all_texts,0.8888888888888888,0.6719975513339578,0.9689811315464172
fulltext,recall_all_meta,0.7272727272727273,0.5184787630099802,0.8684941798418556
fulltext,precision,0.5714285714285714,0.390704789856154,0.7349170381926877
fulltext,precision_fulltext_only,0.5714285714285714,0.390704789856154,0.7349170381926877
fulltext_with_coords,true_positives,7,,
fulltext_with_coords,false_negatives,10,,
fulltext_with_coords,false_positives,4,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.4117647058823529,0.21610786039131386,0.6399492561448445
fulltext_with_coords,recall_all_meta,0.3181818181818182,0.1636038735469248,0.5268177721716065
fulltext_with_coords,precision,0.6363636363636364,0.35379677689163724,0.8483377638586862
