pmid,type,source,full_text_path,in_included_set
11707642,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/11707642.html",True
12122034,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/12122034.html,True
12498754,incomplete,/home/zorro/repos/autonima-results/articles/elsevier_output/,/home/zorro/repos/autonima-results/articles/elsevier_output/12498754/text.txt,True
14506401,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/14506401.html",True
23838052,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/23838052.html,True
26021304,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/26021304.html,True
30154290,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/30154290.html,True
7771636,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/7771636.html",True
8561288,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/8561288.html",True
9161613,incomplete,/home/zorro/repos/autonima-results/articles/ace_outputs,"/home/zorro/repos/autonima-results/articles/ace_outputs/html/Alcoholism, clinical and experimental research/9161613.html",True
11263683,unavailable,pubget,,True
23364872,unavailable,pubget,,True
23541231,unavailable,pubget,,True
26329431,unavailable,pubget,,False
30820858,unavailable,pubget,,False
31180988,unavailable,pubget,,False
31262704,unavailable,pubget,,False
31304733,unavailable,pubget,,False
31983348,unavailable,pubget,,False
31991525,unavailable,pubget,,True
32124275,unavailable,pubget,,True
32133485,unavailable,pubget,,False
32339317,unavailable,pubget,,False
32580206,unavailable,pubget,,False
33000891,unavailable,pubget,,False
33155343,unavailable,pubget,,True
33274546,unavailable,pubget,,True
33393981,unavailable,pubget,,False
33478614,unavailable,pubget,,False
33951262,unavailable,pubget,,True
34002208,unavailable,pubget,,False
34089343,unavailable,pubget,,False
34363622,unavailable,pubget,,True
34606038,unavailable,pubget,,True
34729592,unavailable,pubget,,True
34808703,unavailable,pubget,,True
35294980,unavailable,pubget,,True
35470553,unavailable,pubget,,True
35676089,unavailable,pubget,,False
35918154,unavailable,pubget,,False
35946335,unavailable,pubget,,True
36001427,unavailable,pubget,,True
36301210,unavailable,pubget,,True
36333937,unavailable,pubget,,True
36348233,unavailable,pubget,,True
36380634,unavailable,pubget,,False
36658334,unavailable,pubget,,False
36801835,unavailable,pubget,,False
36892647,unavailable,pubget,,False
37060500,unavailable,pubget,,False
37289285,unavailable,pubget,,False
37855070,unavailable,pubget,,True
38463974,unavailable,pubget,,False
38788079,unavailable,pubget,,False
39241806,unavailable,pubget,,False
39246285,unavailable,pubget,,False
39420471,unavailable,pubget,,False
39533760,unavailable,pubget,,True
39552054,unavailable,pubget,,False
39658135,unavailable,pubget,,False
39812835,unavailable,pubget,,False
40102267,unavailable,pubget,,True
40437012,unavailable,pubget,,False
40460355,unavailable,pubget,,False
41510724,unavailable,pubget,,False
41852160,unavailable,pubget,,False
41881887,unavailable,pubget,,False
42061581,unavailable,pubget,,True
42106000,unavailable,pubget,,False
42176102,unavailable,pubget,,False
42236891,unavailable,pubget,,False
42370981,unavailable,pubget,,False
42442672,unavailable,pubget,,False
42485844,unavailable,pubget,,True
9542891,unavailable,pubget,,False
