pmid,source,projects_for_source,source_found,source_status,reason,journal_or_container,source_primary_path,article_path,tables_path_or_glob,table_files,title,table_count,coord_table_count,supplement_cue_count,incomplete_cue_count,html_path_count,incomplete_cues,evidence_signals,evidence_snippet
10607399,ace_html,projects/social/v3-search-all_pmids,True,found,tables_linked_not_fetched,pond,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/10607399.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/10607399.html,,,Distinct representations of eye gaze and identity in the distributed human neural system for face perception | Nature Neuroscience,0,0,0,0,1,,table_expansion_links:0|table_external_links:1|table_placeholders:0|example_link:/articles/nn0100_80/tables/1,Distinct representations of eye gaze and identity in the distributed human neural system for face perception | Nature Neuroscience Distinct representations of eye gaze and identity in the distributed human neural system for face perception | Nature Neuroscience Skip to main content Thank you for visiting nature.com. You are using a browser version
11058476,ace_html,projects/cue_reactivity/v5,True,found,unknown,The American journal of psychiatry,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The American journal of psychiatry/11058476.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/The American journal of psychiatry/11058476.html,,,Cue-Induced Cocaine Craving: Neuroanatomical Specificity for Drug Users and Drug Stimuli | American Journal of Psychiatry,0,0,0,0,1,,no_coord_table_detected|no_supplement_cues_detected,Cue-Induced Cocaine Craving: Neuroanatomical Specificity for Drug Users and Drug Stimuli | American Journal of Psychiatry Cue-Induced Cocaine Craving: Neuroanatomical Specificity for Drug Users and Drug Stimuli | American Journal of Psychiatry Access provided courtesy of University of Texas Libraries Skip to main content Close DSM DSM-5-TR® DSM-5-T
11296095,ace_html,projects/cue_reactivity/v5,True,found,missed_in_main_text,Archives of general psychiatry,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Archives of general psychiatry/11296095.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Archives of general psychiatry/11296095.html,,,Activation of Prefrontal Cortex and Anterior Thalamus in Alcoholic Subjects on Exposure to Alcohol-Specific Cues | Radiology | JAMA Psychiatry | JAMA Network,4,2,0,0,1,,coord_tables:2|coord_keyword_tables:2|xyz_header_tables:2|max_triplets_in_table:43,"Regions† P No. of Voxels in Cluster Cluster z Score x, y, z Talairach Coordinates Alcohol-Beverage Alcoholic subjects Anterior thalamus .02 167 5.3 0, -6, 3 Left midfrontal gyrus‡ .07 134 3.98 -57, 21, 30 Social drinkers Alcohol-Visual Alcoholic subjects Social drinkers Beverage-Visual Alcoholic subjects Social drinkers Left midfrontal gyrus‡ .08 8"
11496124,ace_html,projects/social/v3-search-all_pmids,True,found,tables_present_no_coordinate_content,pond,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/11496124.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/11496124.html,,,NeuroReport,1,0,1,0,1,,table_count:1|no_coord_table_detected,NeuroReport NeuroReport Log in or Register Subscribe to journal Subscribe Get new issue alerts Get alerts Submit your manuscript Subscribe to eTOC Secondary Logo Enter your Email address: Privacy Policy Journal Logo Articles Articles Advanced Search Toggle navigation Subscribe Register Login Browsing History Articles & Issues Current Issue Previous
11850635,ace_html,projects/social/v3-search-all_pmids,True,found,tables_linked_not_fetched,pond,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/11850635.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/pond/11850635.html,,,Automatic and intentional brain responses during evaluation of trustworthiness of faces | Nature Neuroscience,0,0,0,0,1,,table_expansion_links:0|table_external_links:2|table_placeholders:0|example_link:/articles/nn816/tables/1,"Automatic and intentional brain responses during evaluation of trustworthiness of faces | Nature Neuroscience Automatic and intentional brain responses during evaluation of trustworthiness of faces | Nature Neuroscience Your privacy, your choice We use essential cookies to make sure the site can function. We also use optional cookies for advertisin"
12853571,ace_html,projects/vbm_of_ptsd/v1,True,found,tables_present_no_coordinate_content,manual,/home/zorro/repos/autonima-results/articles/ace_outputs/html/manual/12853571.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/manual/12853571.html,,,Voxel-based analysis of MRI reveals anterior cingulate gray-matter volume reduction in posttraumatic stress disorder due to terrorism | PNAS,2,0,0,0,1,,table_count:2|no_coord_table_detected,Voxel-based analysis of MRI reveals anterior cingulate gray-matter volume reduction in posttraumatic stress disorder due to terrorism | PNAS Voxel-based analysis of MRI reveals anterior cingulate gray-matter volume reduction in posttraumatic stress disorder due to terrorism | PNAS ARTICLES Current Issue Latest Articles Special Features List of Issu
12860777,ace_html,projects/cue_reactivity/v5,True,found,missed_in_main_text,Archives of general psychiatry,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Archives of general psychiatry/12860777.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Archives of general psychiatry/12860777.html,,,Neural Response to Alcohol Stimuli in Adolescents With Alcohol Use Disorder | Adolescent Medicine | JAMA Psychiatry | JAMA Network,6,2,0,0,1,,coord_tables:2|coord_keyword_tables:4|xyz_header_tables:4|max_triplets_in_table:12,"Anatomic Region Brodmann Areas Talairach Coordinates† Volume, µL Effect Size, Cohen d x y z AUD>Controls Left medial frontal and paracentral gyri 6,4 5L 19P 66S 1929 9.21 Left dorsal cingulate and paracentral gyri 6,31,24 2L 22P 52S 815 4.37 Left prefrontal and orbital gyri 11 2L 48A 15I 900 6.83 Left superior and middle frontal gyri 6,8 23L 20A 52"
14667419,elsevier_output,projects/cue_reactivity/v5,True,found,tables_present_no_coordinate_content,elsevier_output,/home/zorro/repos/autonima-results/articles/elsevier_output/14667419/article.xml,/home/zorro/repos/autonima-results/articles/elsevier_output/14667419/article.xml,/home/zorro/repos/autonima-results/articles/elsevier_output/14667419/tables/*.csv,/home/zorro/repos/autonima-results/articles/elsevier_output/14667419/tables/01_tbl1.csv|/home/zorro/repos/autonima-results/articles/elsevier_output/14667419/tables/02_tbl2.csv|/home/zorro/repos/autonima-results/articles/elsevier_output/14667419/tables/03_tbl3.csv|/home/zorro/repos/autonima-results/articles/elsevier_output/14667419/tables/04_tbl4.csv,fMRI BOLD response to alcohol stimuli in alcohol dependent young women,4,0,1,0,0,,table_count:4|coord_keywords:0|triplets:0|no_coord_table_detected,"<full-text-retrieval-response xmlns=""http://www.elsevier.com/xml/svapi/article/dtd"" xmlns:bk=""http://www.elsevier.com/xml/bk/dtd"" xmlns:cals=""http://www.elsevier.com/xml/common/cals/dtd"" xmlns:ce=""http://www.elsevier.com/xml/common/dtd"" xmlns:ja=""http://www.elsevier.com/xml/ja/dtd"" xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:sa=""http://www"
15327927,ace_html,projects/decision_making/v2,True,found,missed_in_main_text,Manual,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/15327927.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Manual/15327927.html,,,Choice selection and reward anticipation: an fMRI study - ScienceDirect,4,4,1,0,1,,coord_tables:4|coord_keyword_tables:4|xyz_header_tables:4|max_triplets_in_table:34,"Selection: monetary > control Anticipation: monetary > control T (peak) k (cluster) x , y , z (mm) Regions BA Side T (peak) k (cluster) x , y , z (mm) Regions BA Side Frontal 5.87 2227 -24, 4, 50 gfd 6 Left 4.22 448 0, 20, 50 gfd 8 Med 5.46 -8, 16, 52 gfd 6 Left 4.65 -2, 6, 66 gfs 6 Left 4.68 -38, 2, 34 gfm 9 Left 3.75 9 10, 40, 14 gc 32 Right 4.75"
15483614,ace_html,projects/decision_making/v2,True,found,supplement_only_or_referenced,Nature,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Nature/15483614.html,/home/zorro/repos/autonima-results/articles/ace_outputs/html/Nature/15483614.html,,,A general mechanism for perceptual decision-making in the human brain | Nature,0,0,1,0,1,,supplement_cue:supplementary,"of both faces and houses 19 , 20 . These regions, which included the frontal eye field (FEF, Brodmann area (BA)6), the supplementary eye field (SEF) and parietal regions (intraparietal sulcus, IPS), gave a greater response when the task became more dif"
