project_name,run,dice_mean_diagonal,pearson_mean_diagonal,dice_mean_off_diagonal,pearson_mean_off_diagonal,all_analyses_dice,all_analyses_pearson,n_rows,n_cols
cue_reactivity,v5-annotation-only-gpt,0.698715,0.864618,0.560940,0.750987,0.602432,0.801312,6,3
decision_making,v2-annotation-only,0.408561,0.639855,0.225821,0.465525,0.276311,0.572257,6,3
dementia,v2-annotation-only,0.431348,0.722136,0.360598,0.634442,,,4,4
dementia,v2-annotation-only-abstract,0.408535,0.700247,0.356860,0.607409,,,4,4
dementia,v3-annotation-only,0.469647,0.729173,0.351319,0.642754,,,4,4
executive_function,v1-annotation-only,0.565540,0.782361,0.348248,0.542844,,,4,4
problem_solving,v1-annotation-only,0.513987,0.695055,0.430092,0.615588,0.506074,0.714849,8,5
problem_solving,v2-annotation-only-gpt,0.484807,0.684811,0.424024,0.620829,0.506452,0.716202,8,5
social,v1-annotation-only,0.570135,0.768402,0.446759,0.671403,0.525433,0.760021,8,5
social,v1-annotation-only-gpt5,0.483287,0.685437,0.406073,0.634877,0.526418,0.762626,8,5
social,v1-annotation-only-lc,0.519976,0.708262,0.416022,0.638798,0.525047,0.759286,8,5
social,v2-annotation-only,0.563514,0.766093,0.447569,0.680084,0.522101,0.759408,8,5
social,v3-annotation-only,0.513505,0.704887,0.398362,0.623494,0.519787,0.759096,8,5
vbm_of_ptsd,v1-annotation-only,0.874787,0.910444,0.519711,0.648785,0.519711,0.648785,4,1
vbm_of_substance_use,v2-annotation-only-gpt,0.488415,0.746246,0.082121,0.246838,0.144206,0.375127,9,6
